corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
tondano	holiday	0001	#	#	##	##				
tondano	holiday	0001	si=	AN.PL=	nc	nc				
tondano	holiday	0001	puyun	grandchild	nc	nc				
tondano	holiday	0001	=ku	=1SG.GEN	nc	nc				
tondano	holiday	0001	sè=	AN.PL=	=ln	=ln				
tondano	holiday	0001	urang	child	np.h:dt_s	np	h	dt_s		
tondano	holiday	0001	=ku	=1.SG.GEN	=rn_pro.1:poss	=rn_pro	1	poss		
tondano	holiday	0001	sèa	3PL	pro.h:s	pro	h	s		
tondano	holiday	0001	waki	PREP3	adp	adp				
tondano	holiday	0001	Brisbane	PN	np:pred_l	np		pred_l		
tondano	holiday	0002	#	#	##	##				
tondano	holiday	0002	si=	AN.SG=	=ln	=ln				
tondano	holiday	0002	puyun	child	np.h:dt_s	np	h	dt_s		
tondano	holiday	0002	=ku	=1SG.GEN	=rn_pro.1:poss	=rn_pro	1	poss		
tondano	holiday	0002	esa	one	rn	rn				
tondano	holiday	0002	si=	3SG.NOM=	=pro.h:s	=pro	h	s		
tondano	holiday	0002	waki	PREP3	adp	adp				
tondano	holiday	0002	Sydney	PN	np:pred_l	np		pred_l		
tondano	holiday	0003	#	#	##	##				
tondano	holiday	0003	jadi	thus	other	other				
tondano	holiday	0004	torang	1PL	pro.1:s	pro	1	s		
tondano	holiday	0004	itu	DEM2	rn	rn				
tondano	holiday	0004	ma-tèku	AV.DYN-stay	v:pred	v		pred		
tondano	holiday	0004	tiga	three	ln	ln				
tondano	holiday	0004	bulan	month	np:other	np		other		
tondano	holiday	0004	mana	there	other	other				
tondano	holiday	0004	=mèè	=DIR.MED	=other	=other				
tondano	holiday	0005	#	#	##	##				
tondano	holiday	0005	ZERO	ZERO	0.1:s	0	1	s		
tondano	holiday	0005	m<in>a-masiar-masiar	AV.DYN-PST-RDP-travel	v:pred	v		pred		
tondano	holiday	0005	=la	=DIR.PROX	=rv	=rv				
tondano	holiday	0006	#	#	##	##				
tondano	holiday	0006	N=	INAN=	=ln	=ln				
tondano	holiday	0006	pa-ana'-an	DYN-stay-LV	np:s	np		s		
tondano	holiday	0006	=nèa	=3PL.GEN	=rn_pro.h:poss	=rn_pro	h	poss		
tondano	holiday	0007	ee	HES	nc	nc				
tondano	holiday	0007	N=	INAN=	=ln	=ln				
tondano	holiday	0007	kampung	quarter	np:pred	np		pred		
tondano	holiday	0008	Daisy	PN	rn_np	rn_np				
tondano	holiday	0008	Hill	PN	rn_np	rn_np				
tondano	holiday	0009	#	#	##	##				
tondano	holiday	0009	ZERO	ZERO	0:s	0		s		
tondano	holiday	0009	mèmang	truly	other	other				
tondano	holiday	0009	waki	PREP3	other:pred	other		pred		
tondano	holiday	0009	kota	city	np:l	np		l		
tondano	holiday	0010	Brisbane	PN	rn_np	rn_np				
tondano	holiday	0011	#	#	##	##				
tondano	holiday	0011	wo	and	other	other				
tondano	holiday	0011	kèy=	HES	nc	nc				
tondano	holiday	0011	sa	if	other	other				
tondano	holiday	0011	hari	day	np:other	np		other		
tondano	holiday	0011	duminggu	Sunday	rn_np	rn_np				
tondano	holiday	0011	kèy=	1PL.EX.NOM=	=pro.1:s	=pro	1	s		
tondano	holiday	0011	waya	all	rn	rn				
tondano	holiday	0011	si	HES	nc	nc				
tondano	holiday	0011	<um>untep	<AV>enter.church	v:pred	v		pred		
tondano	holiday	0012	waki	PREP3	adp	adp				
tondano	holiday	0012	Tamborine	PN	np:l	np		l		
tondano	holiday	0012	adu	PART	nc	nc				
tondano	holiday	0012	<um>patè	PART	nc	nc				
tondano	holiday	0012	N=	INAN=	=other	=other				
tondano	holiday	0012	row'	far	other	other				
tondano	holiday	0012	=mèè	=DIR.MED	=other	=other				
tondano	holiday	0013	t<um>awii	<AV>close	other	other				
tondano	holiday	0013	=mow	=CMP	=other	=other				
tondano	holiday	0013	=mèè	=DIR.DIST	=other	=other				
tondano	holiday	0013	laut	sea	np:l	np		l		
tondano	holiday	0013	sabla	next.to	rn	rn				
tondano	holiday	0014	#	#	##	##				
tondano	holiday	0014	salah	RDP	ln_np	ln_np				
tondano	holiday	0014	salah	mistake	np:other	np		other		
tondano	holiday	0014	mèmang	truly	other	other				
tondano	holiday	0014	ZERO	ZERO	0.1:s	0	1	s		
tondano	holiday	0014	musti	AUX.must	aux	aux				
tondano	holiday	0014	<um>èa	<AV>go	lv	lv				
tondano	holiday	0014	<um>untep	<AV>enter.church	v:pred	v		pred		
tondano	holiday	0015	#	#	##	##				
tondano	holiday	0015	jam	hour	np:other	np		other		
tondano	holiday	0015	sebelas	eleven	rn	rn				
tondano	holiday	0015	ZERO	ZERO	0.1:s	0	1	s		
tondano	holiday	0015	<um>warèng	<AV>return.home	v:pred	v		pred		
tondano	holiday	0015	=mi	=DIR.DIST	=rv	=rv				
tondano	holiday	0016	#	#	##	##				
tondano	holiday	0016	wo	and	other	other				
tondano	holiday	0016	kèy=	1PL.EX.NOM=	=pro.1:s	=pro	1	s		
tondano	holiday	0016	<um>èa	<AV>go	v:pred	v		pred		
tondano	holiday	0016	kasi	more	rv	rv				
tondano	holiday	0016	waki	PREP3	adp	adp				
tondano	holiday	0017	e	HES	nc	nc				
tondano	holiday	0017	double	Double	np:l	np		l		
tondano	holiday	0017	yu	U	rn	rn				
tondano	holiday	0018	#	#	##	##				
tondano	holiday	0018	kèy=	1PL.EX.NOM=	=pro.1:s	=pro	1	s		
tondano	holiday	0018	<um>èa	<AV>go	v:pred	v		pred		
tondano	holiday	0018	waki	PREP3	adp	adp				
tondano	holiday	0018	double	Double	np:l	np		l		
tondano	holiday	0018	yu	U	rn	rn				
tondano	holiday	0018	#	#	##	##				
tondano	holiday	0018	ZERO	ZERO	0.1:a_a	0	1	a_a		
tondano	holiday	0018	<um>èa	<AV>go	lv	lv				
tondano	holiday	0018	t<um>eles	<AV>buy	v:pred	v		pred		
tondano	holiday	0018	=la	=DIR.PROX	=rv	=rv				
tondano	holiday	0018	labung	clothes	ln_np	ln_np				
tondano	holiday	0019	pa'ayang-en	work-PV	np:p_a	np		p_a		
tondano	holiday	0019	nè=	AN.PL.GEN=	=rn	=rn				
tondano	holiday	0019	oki'	small	rn_np.h:poss	rn_np	h	poss		
tondano	holiday	0020	#	#	##	##				
tondano	holiday	0020	kèy=	1PL.EX.NOM=	=pro.1:s	=pro	1	s		
tondano	holiday	0020	<um>èa	<AV>go	v:pred	v		pred		
tondano	holiday	0020	waki	PREP3	adp	adp				
tondano	holiday	0021	Hyperdome	Hyperdome	np:l	np		l		
tondano	holiday	0022	#	#	##	##				
tondano	holiday	0022	Hyperdome	Hyperdome	np:s	np		s		
tondano	holiday	0022	itu	DEM2	rn	rn				
tondano	holiday	0022	waya	all	other	other				
