corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
tondano	kiniar03	0001	#	#	##	##				
tondano	kiniar03	0001	patuari	nuclear.family	nc	nc				
tondano	kiniar03	0001	waya	all	rn	rn				
tondano	kiniar03	0001	niaku	1SG	pro.1:a_a	pro	1	a_a		
tondano	kiniar03	0001	ma-Ce-susui	AV.DYN-IRR-speak	v:pred	v		pred		
tondano	kiniar03	0001	N=	INAN=	=ln	=ln				
tondano	kiniar03	0002	ee	HES	nc	nc				
tondano	kiniar03	0002	r<in>ekam-en	<PST>record-PV	np:p_a	np		p_a		
tondano	kiniar03	0002	ni=	AN.SG.GEN=	=rn	=rn				
tondano	kiniar03	0002	patuari	nuclear.family	rn_np:poss	rn_np		poss		
tondano	kiniar03	0002	=ku	=1SG.GEN	=pro.1:poss	=pro	1	poss		
tondano	kiniar03	0002	Tim	PN	np.h:appos	np	h	appos		
tondano	kiniar03	0003	waki	PREP3	adp	adp				
tondano	kiniar03	0003	Lolah	PN	np:l	np		l		
tondano	kiniar03	0003	Tombulu	PN	rn_np	rn_np				
tondano	kiniar03	0003	Tomohon	PN	rn_np	rn_np				
tondano	kiniar03	0004	#	#	##	##				
tondano	kiniar03	0004	ngaa	HES	nc	nc				
tondano	kiniar03	0004	sè=	HES	nc	nc				
tondano	kiniar03	0005	sè=	3PL.NOM=	=pro.h:a_a	=pro	h	a_a		
tondano	kiniar03	0005	s<im>iwo	<AV.PST>do	v:pred	v		pred		
tondano	kiniar03	0005	=mow	=CMP	=rv	=rv				
tondano	kiniar03	0005	pèrèt	HES	nc	nc				
tondano	kiniar03	0006	pèrèt	bat	ln_np	ln_np				
tondano	kiniar03	0006	iti'i	DEM2	ln	ln				
tondano	kiniar03	0007	wo	and	ln	ln				
tondano	kiniar03	0007	sè=	HES	nc	nc				
tondano	kiniar03	0007	sè=	AN.PL=	=ln	=ln				
tondano	kiniar03	0007	kawok	rat	np:p_a	np		p_a		
tondano	kiniar03	0008	ngaa	HES	nc	nc				
tondano	kiniar03	0008	èy	PART	nc	nc				
tondano	kiniar03	0009	#	#	#ac	#ac				
tondano	kiniar03	0009	pilapila	wing	np:dt_p_u	np		dt_p_u		
tondano	kiniar03	0009	nè=	AN.PL.GEN=	=rn	=rn				
tondano	kiniar03	0009	pèrèt	bat	rn_np:poss	rn_np		poss		
tondano	kiniar03	0009	iti'i	DEM2	rn	rn				
tondano	kiniar03	0009	ka'a	because	other	other				
tondano	kiniar03	0010	peN-sera'-an	DYN-meat-LV	v:pred	v		pred		
tondano	kiniar03	0010	ZERO	ZERO	0.h:a_u	0	h	a_u		
tondano	kiniar03	0010	kangkasi	also	other	other				
tondano	kiniar03	0010	N=	INAN=	=ln	=ln				
tondano	kiniar03	0010	pilapila	wing	np:p_u	np		p_u		
tondano	kiniar03	0010	=na	=3SG.GEN	=pro:poss	=pro		poss		
tondano	kiniar03	0010	#	#	#nc	#nc				
tondano	kiniar03	0010	ta'an	however	nc	nc				
tondano	kiniar03	0010	musti	AUX.must	nc	nc				
tondano	kiniar03	0011	pali'pik	wingtips	nc	nc				
tondano	kiniar03	0012	pali'pik	wingtips	nc	nc				
tondano	kiniar03	0012	i-pa-tèwèl	HES	nc	nc				
tondano	kiniar03	0012	i-pa-tèwèl	CV-DYN-fly	nc	nc				
tondano	kiniar03	0012	ni=	HES	nc	nc				
tondano	kiniar03	0012	ni=	AN.SG.GEN=	nc	nc				
tondano	kiniar03	0012	pèrèt	bat	nc	nc				
tondano	kiniar03	0012	N=	INAN=	nc	nc				
tondano	kiniar03	0012	pali'pik	wingtips	nc	nc				
tondano	kiniar03	0012	=na	=3SG.GEN	nc	nc				
tondano	kiniar03	0013	#	#	##	##				
tondano	kiniar03	0013	ZERO	ZERO	0:p_u	0		p_u		
tondano	kiniar03	0013	peN-sera'an	DYN-meat-LV	v:pred	v		pred		
tondano	kiniar03	0013	ZERO	ZERO	0.h:a_u	0	h	a_u		
tondano	kiniar03	0013	kangkasi	also	other	other				
tondano	kiniar03	0013	#	#	##	##				
tondano	kiniar03	0013	ta'an	however	other	other				
tondano	kiniar03	0013	musti	AUX.must	aux	aux				
tondano	kiniar03	0013	ZERO	ZERO	0:p_u	0		p_u		
tondano	kiniar03	0013	siruw-an	burn.hair-LV	v:pred	v		pred		
tondano	kiniar03	0013	ZERO	ZERO	0.h:a_u	0	h	a_u		
tondano	kiniar03	0013	=la	=DIR.PROX	=rv	=rv				
tondano	kiniar03	0014	#	#	##	##				
tondano	kiniar03	0014	ee	PART	nc	nc				
tondano	kiniar03	0014	pa-pa-ato-en	CAUS-DYN-look-PV	v:pred	v		pred		
tondano	kiniar03	0014	=nèa	=3PL.GEN	=pro.h:a_u	=pro	h	a_u		
tondano	kiniar03	0014	=mi	=DIR.DIST	=rv	=rv				
tondano	kiniar03	0014	si=	AN.SG=	=ln	=ln				
tondano	kiniar03	0014	kawok	HES	nc	nc				
tondano	kiniar03	0014	kawok	rat	np:p_u	np		p_u		
tondano	kiniar03	0014	puti'	white	rn	rn				
tondano	kiniar03	0014	ipus	tail	rn_np	rn_np				
tondano	kiniar03	0015	#	#	##	##				
