corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
tondano	mapalus	0001	#	#	##	##				
tondano	mapalus	0001	waktu	time	np:other	np		other		
tondano	mapalus	0001	ku=	HES	nc	nc				
tondano	mapalus	0001	masi	HES	nc	nc				
tondano	mapalus	0001	ku=	1SG.NOM=	=pro.1:s	=pro	1	s		
tondano	mapalus	0001	reraa	girl	np.h:pred	np	h	pred		
tondano	mapalus	0001	=pè'	=INCMP	=other	=other				
tondano	mapalus	0002	#	#	##	##				
tondano	mapalus	0002	ku=	1SG.NOM=	=pro.1:a_a	=pro	1	a_a		
tondano	mapalus	0002	ma-ki'it	AV.DYN-follow	v:pred	v		pred		
tondano	mapalus	0002	ma-Ce-palus	AV.DYN-IRR-work.together	np:p_a	np		p_a		
tondano	mapalus	0003	#	#	##	##				
tondano	mapalus	0003	kèy=	1PL.EX.NOM=	=pro.1:s	=pro	1	s		
tondano	mapalus	0003	<um>èa	<AV>go	lv	lv				
tondano	mapalus	0003	ma-tanem	AV.DYN-cultivate	v:pred	v		pred		
tondano	mapalus	0004	wo	and	nc	nc				
tondano	mapalus	0004	sapa	what	nc	nc				
tondano	mapalus	0005	#	#	#ac	#ac				
tondano	mapalus	0005	ta'an	however	other	other				
tondano	mapalus	0005	sa	if	other	other				
tondano	mapalus	0005	ZERO	ZERO	0.1:s	0	1	s		
tondano	mapalus	0005	<um>warèng	<AV>return.home	v:pred	v		pred		
tondano	mapalus	0005	=mow	=CMP	=rv	=rv				
tondano	mapalus	0005	=mi	=DIR.DIST	=rv	=rv				
tondano	mapalus	0005	sa	if	nc	nc				
tondano	mapalus	0005	hari	day	np:other	np		other		
tondano	mapalus	0005	sabtu	saturday	rn_np	rn_np				
tondano	mapalus	0006	#	#	##	##				
tondano	mapalus	0006	ee	HES	nc	nc				
tondano	mapalus	0006	ZERO	ZERO	0.1:s	0	1	s		
tondano	mapalus	0006	<um>èa	<AV>go	v:pred	v		pred		
tondano	mapalus	0006	wia	PREP1	adp	adp				
tondano	mapalus	0006	N=	INAN=	=ln	=ln				
tondano	mapalus	0006	pesta	party	np:g	np		g		
tondano	mapalus	0006	#	#	##	##				
tondano	mapalus	0006	ZERO	ZERO	0.1:s	0	1	s		
tondano	mapalus	0006	<um>èa	<AV>go	lv	lv				
tondano	mapalus	0006	l<um>ansa	<AV>dance	v:pred	v		pred		
tondano	mapalus	0006	waki	PREP3	adp	adp				
tondano	mapalus	0006	Kolèt	PN	np:l	np		l		
tondano	mapalus	0007	serta	after	nc	nc				
tondano	mapalus	0007	itu	DEM2	nc	nc				
tondano	mapalus	0007	èy	PART	nc	nc				
tondano	mapalus	0007	kasihan	PART	nc	nc				
tondano	mapalus	0007	#	#	##	##				
tondano	mapalus	0007	wo	and	other	other				
tondano	mapalus	0007	sèa	3PL	pro.h:s	pro	h	s		
tondano	mapalus	0007	<um>èy	<AV>come	v:pred	v		pred		
