corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
tondano	water	0001	#	#	#nc	#nc				
tondano	water	0001	o	PART	nc	nc				
tondano	water	0001	watè	sago.grub	nc	nc				
tondano	water	0002	watè	sago.grub	nc	nc				
tondano	water	0003	#	#	#ac	#ac				
tondano	water	0003	sa	if	other	other				
tondano	water	0003	itu	DEM2	pro:s	pro		s		
tondano	water	0003	Toudano	PN	np:pred	np		pred		
tondano	water	0004	#	#	##	##				
tondano	water	0004	iti'i	DEM2	pro:p_u	pro		p_u		
tondano	water	0005	l<in>ila'-en	<PST>tongue-PV	v:pred	v		pred		
tondano	water	0005	=nèa	=3PL.GEN	=pro.h:a_u_ds	=pro	h	a_u_ds		
tondano	water	0005	watè	sago.grub	np:other	np		other		
tondano	water	0006	#	#	##	##				
tondano	water	0006	watè	sago.grub	np:p_u	np		p_u		
tondano	water	0006	pa-siwo-en	DYN-do-PV	v:pred	v		pred		
tondano	water	0006	ZERO	ZERO	0.h:a_u	0	h	a_u		
tondano	water	0006	witu	PREP2	adp	adp				
tondano	water	0007	N=	INAN=	nc	nc				
tondano	water	0007	akel	sugar.palm.tree	nc	nc				
tondano	water	0008	pohon	tree	ln_np	ln_np				
tondano	water	0008	N=	INAN=	=ln	=ln				
tondano	water	0008	akel	sugar.palm.tree	np:l	np		l		
tondano	water	0009	#	NC	#nc	#nc				
tondano	water	0009	sa	if	nc	nc				
tondano	water	0009	N=	INAN=	nc	nc				
tondano	water	0009	akel	sugar.palm.tree	nc	nc				
tondano	water	0010	#	#	##	##				
tondano	water	0010	ya	AFF	nc	nc				
tondano	water	0010	sè=	3PL.NOM=	=pro:s	=pro		s		
tondano	water	0010	ma-kaluar	AV.DYN-go.out	v:pred	v		pred		
tondano	water	0010	witu	PREP2	adp	adp				
tondano	water	0010	N=	INAN=	=ln	=ln				
tondano	water	0010	akel	sugar.palm.tree	np:l	np		l		
tondano	water	0010	#	#	##	##				
tondano	water	0010	ta'an	however	other	other				
tondano	water	0010	sè=	3PL.NOM=	=pro:s	=pro		s		
tondano	water	0010	ma-kaluar	AV.DYN-go.out	v:pred	v		pred		
tondano	water	0010	witu	PREP2	adp	adp				
tondano	water	0010	N=	INAN=	=ln	=ln				
tondano	water	0010	akel	sugar.palm.tree	np:l	np		l		
tondano	water	0011	#	#	##	##				
tondano	water	0011	aa	HES	nc	nc				
tondano	water	0012	musti	AUX.must	nc	nc				
tondano	water	0013	ee	HES	nc	nc				
tondano	water	0013	ZERO	ZERO	0:s	0		s		
tondano	water	0013	sapa	what	other:pred	other		pred		
tondano	water	0014	#	#	##	##				
tondano	water	0014	ee	HES	nc	nc				
tondano	water	0014	i-siwo	CV-do	v:pred	v		pred		
tondano	water	0014	=la	=DIR.PROX	=rv	=rv				
tondano	water	0014	ZERO	ZERO	0.h:a_u	0	h	a_u		
tondano	water	0014	lobang	hole	np:p_u	np		p_u		
tondano	water	0015	#	#	##	##				
tondano	water	0015	i-siwo	CV-do	v:pred	v		pred		
tondano	water	0015	=la	=DIR.PROX	=rv	=rv				
tondano	water	0015	ZERO	ZERO	0.h:a_u	0	h	a_u		
tondano	water	0015	lobang	hole	np:p_u	np		p_u		
tondano	water	0016	#	#	##	##				
tondano	water	0016	lobang	hole	np:p_u	np		p_u		
tondano	water	0016	siwo-en	do-PV	v:pred	v		pred		
tondano	water	0016	ZERO	ZERO	0.h:a_u	0	h	a_u		
tondano	water	0016	wo	with	adp	adp				
tondano	water	0017	N=	INAN=	=ln	=ln				
tondano	water	0017	pati'	axe	np:obl	np		obl		
tondano	water	0018	#	#	##	##				
tondano	water	0018	i-siwo	CV-do	v:pred	v		pred		
tondano	water	0018	ZERO	ZERO	0.h:a_u	0	h	a_u		
tondano	water	0018	N=	INAN=	=ln	=ln				
tondano	water	0018	pati'	axe	np:p_u	np		p_u		
tondano	water	0019	#	#	#ac	#ac				
tondano	water	0019	sa	if	other	other				
tondano	water	0020	pira	how.many	pro:p_u	pro		p_u		
tondano	water	0020	=mow	=CMP	=other	=other				
tondano	water	0020	i-èdo	CV-take	v:pred	v		pred		
tondano	water	0020	ZERO	ZERO	0.h:a_u	0	h	a_u		
tondano	water	0021	#	#	##	##				
tondano	water	0021	tanu	like	other	other				
tondano	water	0021	rua	two	pro:p_a	pro		p_a		
tondano	water	0021	=mow	=CMP	=rn	=rn				
tondano	water	0021	ZERO	ZERO	0.h:a_a	0	h	a_a		
tondano	water	0021	meN-èdo	AV.DYN-take	v:pred	v		pred		
tondano	water	0022	#	#	##	##				
tondano	water	0022	toro	AUX.can	aux	aux				
tondano	water	0022	=mow	=CMP	=rv	=rv				
tondano	water	0023	pa-sera'-an	DYN-meat-LV	v:pred	v		pred		
tondano	water	0023	ZERO	ZERO	0.h:a_u	0	h	a_u		
tondano	water	0023	sè=	AN.PL=	=ln	=ln				
tondano	water	0023	watè	sago.grub	np:p_u	np		p_u		
tondano	water	0024	#	#	##	##				
tondano	water	0024	watè	sago.grub	np:dt_s	np		dt_s		
tondano	water	0024	sè=	3PL.NOM=	=pro:s	=pro		s		
tondano	water	0024	godè-godè	RDP-fat	other:pred	other		pred		
tondano	water	0024	kasa	very	other	other				
tondano	water	0025	#	#	##	##				
tondano	water	0025	rua	two	pro:p_u	pro		p_u		
tondano	water	0025	nèy	CV.PST	lv	lv				
tondano	water	0025	èdo	take	v:pred	v		pred		
tondano	water	0025	ZERO	ZERO	0.h:a_u	0	h	a_u		
tondano	water	0026	#	#	##	##				
tondano	water	0026	aa	HES	nc	nc				
tondano	water	0026	toro	AUX.can	aux	aux				
tondano	water	0026	i-pa-kaan	CV-DYN-rice	v:pred	v		pred		
tondano	water	0026	ZERO	ZERO	0.h:a_u	0	h	a_u		
