corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
tondano	watulaney	0001	#	#	##	##				
tondano	watulaney	0001	ee	HES	nc	nc				
tondano	watulaney	0002	niaku	1SG	pro.1:s	pro	1	s		
tondano	watulaney	0002	t<im>ou	<AV.PST>person	v:pred	v		pred		
tondano	watulaney	0002	waki	PREP3	adp	adp				
tondano	watulaney	0003	wanua	village	np:l	np		l		
tondano	watulaney	0003	Watulanèy	PN	rn	rn				
tondano	watulaney	0004	waki	PREP3	adp	adp				
tondano	watulaney	0004	keluarga	family	np:obl	np		obl		
tondano	watulaney	0005	Tulangi	PN	rn_np	rn_np				
tondano	watulaney	0005	Korèngkèng	PN	rn_np	rn_np				
tondano	watulaney	0006	#	#	##	##				
tondano	watulaney	0006	ee	HES	nc	nc				
tondano	watulaney	0007	niaku	1SG	pro.1:dt	pro	1	dt		
tondano	watulaney	0007	wewèan	EXIST	other:predex	other		predex		
tondano	watulaney	0008	kaka	older.sibling	np.h:s	np	h	s		
tondano	watulaney	0008	telu	three	rn	rn				
tondano	watulaney	0009	#	#	##	##				
tondano	watulaney	0009	niaku	1SG	pro.1:s	pro	1	s		
tondano	watulaney	0009	oki'	small	other:pred	other		pred		
tondano	watulaney	0009	ka-epat	ORD-four	rn	rn				
tondano	watulaney	0010	#	#	##	##				
tondano	watulaney	0010	kèy=	1.PL.EX.NOM=	=pro.1:s	=pro	1	s		
tondano	watulaney	0010	matuari	sibling	ln_np.h	ln_np	h			
tondano	watulaney	0010	wewènè	woman	np:pred	np		pred		
tondano	watulaney	0010	waya	all	rn	rn				
tondano	watulaney	0011	#	#	##	##				
tondano	watulaney	0011	ee	HES	nc	nc				
tondano	watulaney	0011	ngaran	name	np:s	np		s		
tondano	watulaney	0011	=nèa	=3PL.GEN	=rn_pro.h:poss	=rn_pro	h	poss		
tondano	watulaney	0011	mulai	begin	other	other				
tondano	watulaney	0012	si=	AN.SG=	=ln	=ln				
tondano	watulaney	0012	ee	HES	nc	nc				
tondano	watulaney	0013	oki'	small	other:pred	other		pred		
tondano	watulaney	0013	ka-tarè	very-new	rn	rn				
tondano	watulaney	0014	#	#	##	##				
tondano	watulaney	0014	wewèan	EXIST	other:predex	other		predex		
tondano	watulaney	0014	si=	AN.SG=	=ln	=ln				
tondano	watulaney	0014	nona	miss	ln_np.h	ln_np	h			
tondano	watulaney	0014	si=	AN.SG=	=ln	=ln				
tondano	watulaney	0014	kèkè	maiden	ln_np.h	ln_np	h			
tondano	watulaney	0014	si=	AN.SG=	=ln	=ln				
tondano	watulaney	0014	èla	PN	ln_np.h	ln_np	h			
tondano	watulaney	0014	maan	with	ln	ln				
tondano	watulaney	0014	niaku	1SG	pro.1:s	pro	1	s		
tondano	watulaney	0015	#	#	##	##				
tondano	watulaney	0015	ngaran	name	np:s	np		s		
tondano	watulaney	0015	=ku	=1SG.GEN	=rn_pro.1:poss	=rn_pro	1	poss		
tondano	watulaney	0015	Sefli	PN	np.h:pred	np	h	pred		
tondano	watulaney	0015	Tulangi	PN	rn_np	rn_np				
tondano	watulaney	0016	#	#	##	##				
tondano	watulaney	0016	niaku	1SG	pro.1:s	pro	1	s		
tondano	watulaney	0016	e	HES	nc	nc				
tondano	watulaney	0017	s<im>ekola	<AV.PST>school	v:pred	v		pred		
tondano	watulaney	0017	TK	primary.school	ln_np	ln_np				
tondano	watulaney	0017	SD	junior.high.school	ln_np	ln_np				
tondano	watulaney	0017	SMA	high.school	np:l	np		l		
tondano	watulaney	0017	aa	HES	nc	nc				
tondano	watulaney	0018	#	#	##	##				
tondano	watulaney	0018	niaku	1SG	pro.1:s	pro	1	s		
tondano	watulaney	0019	k<um>awèng	<AV>marry	v:pred	v		pred		
tondano	watulaney	0019	maan	with	adp	adp				
tondano	watulaney	0019	si=	AN.SG=	=ln	=ln				
tondano	watulaney	0020	tuama	man	np.h:obl	np	h	obl		
tondano	watulaney	0020	#	#	#rc_rn	#rc_rn				
tondano	watulaney	0020	ZERO	ZERO	0.h:a_a	0	h	a_a		
tondano	watulaney	0020	maka- ngaran	AV.POT-name	v:pred	v		pred		
tondano	watulaney	0020	Dèine	PN	np.h:p_a	np	h	p_a		
tondano	watulaney	0020	Gèrungan	PN	rn_np	rn_np				
tondano	watulaney	0021	#	#	##	##				
tondano	watulaney	0021	ZERO	ZERO	0.1:a_a	0	1	a_a		
tondano	watulaney	0021	maka-oki'	AV.POT-small	v:pred	v		pred		
tondano	watulaney	0021	si=	AN.SG=	=ln	=ln				
tondano	watulaney	0021	putri	daughter	np.h:p_a	np	h	p_a		
tondano	watulaney	0021	Gèrungan	PN	rn_np	rn_np				
tondano	watulaney	0022	#	#	##	##				
tondano	watulaney	0022	ee	HES	nc	nc				
tondano	watulaney	0022	ye'i	now	other	other				
tondano	watulaney	0022	si=	AN.SG=	=ln	=ln				
tondano	watulaney	0022	oki'	small	np.h:s	np	h	s		
tondano	watulaney	0022	=ku	=1SG.GEN	=rn_pro.1:poss	=rn_pro	1	poss		
tondano	watulaney	0022	ma-sekola	AV.DYN-school	v:pred	v		pred		
tondano	watulaney	0022	waki	PREP3	adp	adp				
tondano	watulaney	0022	SMA	high.school	np:l	np		l		
tondano	watulaney	0022	satu	one	rn	rn				
tondano	watulaney	0022	Tondano	PN	rn_np	rn_np				
tondano	watulaney	0023	e	HES	nc	nc				
tondano	watulaney	0023	kelas	class	np:other	np		other		
tondano	watulaney	0023	telu	three	rn	rn				
tondano	watulaney	0024	#	#	##	##				
tondano	watulaney	0024	ee	HES	nc	nc				
tondano	watulaney	0024	waki	PREP3	adp	adp				
tondano	watulaney	0024	wanua	village	np:l	np		l		
tondano	watulaney	0024	=ku	=1SG.GEN	=rn_pro.1:poss	=rn_pro	1	poss		
tondano	watulaney	0024	ka-laker	very-many	other:pred	other		pred		
tondano	watulaney	0024	pa-tuari	nuclear.family	np:s	np		s		
tondano	watulaney	0025	e	HES	nc	nc				
tondano	watulaney	0026	#	#	##	##				
tondano	watulaney	0026	e	HES	nc	nc				
tondano	watulaney	0026	Ce-pa'ayang-en	NR-work-PV	np:s	np		s		
tondano	watulaney	0026	=nèa	=3PL.GEN	=rn_pro.h:poss	=rn_pro	h	poss		
tondano	watulaney	0027	e	HES	nc	nc				
tondano	watulaney	0028	ka-laker	very-many	other:pred	other		pred		
tondano	watulaney	0029	#	#	##	##				
tondano	watulaney	0029	wewèan	EXIST	other:predex	other		predex		
tondano	watulaney	0029	sè=	AN.PL=	=ln	=ln				
tondano	watulaney	0029	petani	farmer	np.h:s	np	h	s		
tondano	watulaney	0030	#	#	##	##				
tondano	watulaney	0030	wewèan	EXIST	other:predex	other		predex		
tondano	watulaney	0030	#	#	#rc:s	#rc		s		
tondano	watulaney	0030	sè=	3PL.REL=	=pro.h:s	=pro	h	s		
tondano	watulaney	0030	ma-wangker	AV.DYN-sell	v:pred	v		pred		
tondano	watulaney	0030	#	#	##	##				
